,Unnamed: 0,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction,L1,L2,Linf,Sparsity,Realistic,MAD,Mahalanobis,Neighbour_Distance
0,0,0.5205479452054793,0.0,0.0,0.1428571428571428,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.62755823,7.8550596e-07,7.8320045e-07,0.20701973,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,62.811752,0.07854981,0.003411621,21.287933,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,33.43348050117493,Y,Y,<=50K,<=50K,>50K,0.1711744406437879,0.12477194653406508,0.10701028479452068,64,True,0.381850449903523,0.02207710911757922,0.12477194653406506
1,0,0.6575342465753424,0.0,0.0,0.1938775510204081,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.69678265,5.9901424e-07,5.982852e-07,0.22366297,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,67.865135,0.059900824,0.0026061304,22.91897,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,33.43348050117493,Y,Y,<=50K,<=50K,>50K,0.06903501970368942,0.04927076573274728,0.03924840342465752,64,True,0.1602583348328238,0.008464771375467544,0.04927076573274727
2,0,0.1643835616438356,0.0,0.0,0.3979591836734693,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.16438356,0.0,0.0,0.39795917,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,33.43348050117493,Y,N,<=50K,<=50K,<=50K,1.5317304896678152e-08,1.3771926451922966e-08,1.3673469301256347e-08,64,True,4.6857595680209817e-08,1.77061440847386e-09,1.3771926507037261e-08
3,0,0.4931506849315069,0.0,0.0,0.3979591836734693,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.1355732,1.06480435e-07,1.08145976e-07,0.10237944,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,26.896843,0.010647937,0.00047108388,11.033186,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,33.43348050117493,Y,Y,>50K,>50K,<=50K,0.6531574432313871,0.46392784201860404,0.3575774849315069,64,True,1.538188251355987,0.07869789387188865,0.3324172024355273
4,0,0.2054794520547945,0.0,0.0,0.3979591836734693,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.20547946,0.0,0.0,0.39795917,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,33.43348050117493,Y,N,<=50K,<=50K,<=50K,2.1618674794776638e-08,1.581423577245087e-08,1.3673469301256347e-08,64,True,5.713537979575615e-08,2.195519097508294e-09,1.58142358204475e-08
5,0,0.2876712328767123,0.0,0.0,0.4795918367346938,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.28767124,0.0,0.0,0.47959185,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,33.43348050117493,Y,N,<=50K,<=50K,<=50K,2.038859386876979e-08,1.5056878017375512e-08,1.3265306186838188e-08,64,True,5.4476100198098775e-08,2.2070224041108912e-09,1.5056877968469464e-08
6,0,0.2054794520547945,0.0,0.0,0.4285714285714285,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.10564153,2.3373738e-07,2.3518302e-07,0.25008792,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,24.71183,0.023373505,0.0010244573,25.508615,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,33.43348050117493,Y,Y,>50K,>50K,<=50K,0.278321899546623,0.204509103739409,0.17848350857142847,64,True,0.7394911026437285,0.030189582559539144,0.056348810322703245
7,0,0.2465753424657534,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.5642869,2.2561203e-06,2.2329243e-06,0.7104217,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,58.192944,0.22560978,0.009726618,70.62132,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,33.43348050117493,Y,Y,<=50K,<=50K,>50K,0.6301785629053774,0.4456158187385413,0.3177115575342466,64,True,1.5277515179010535,0.07345471546210247,0.3356889181172877
8,0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.47945204,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,51.999996,0.0,0.0,50.0,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,33.43348050117493,Y,N,<=50K,<=50K,<=50K,1.4794520497574126e-08,1.4794520497574126e-08,1.4794520497574126e-08,64,True,2.4130449446076213e-08,2.7644336850648844e-09,1.4794520497574126e-08
9,0,0.2602739726027397,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.50710136,1.5705722e-06,1.5584912e-06,0.65151906,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,54.0184,0.15705565,0.006788788,64.84887,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,33.43348050117493,Y,Y,<=50K,<=50K,>50K,0.500390392787191,0.3538592517611746,0.25355987632653076,64,True,1.2218200788388418,0.05788244126703912,0.12354934134258107
